Gene,Direction
insAB-1,Left
lpd,Right
mrcB,Right
fhuA,Right
erpA,Right
yaeH,Left
ykfA,Left
argF,Left
yagK,Left
yahA,Right
frmR,Left
cyoD,Left
tig,Right
clpP,Right
ybaO,Right
ylaB,Left
ylaC,Left
maa,Left
rhsD,Right
rhsD,Right
ybcL,Right
ompT,Left
nfrB,Left
nfsB,Left
cstA,Right
cspE,Right
lipA,Left
ybeF,Left
uof,Left
fldA,Left
ybfE,Left
ybfO,Right
ybgD,Left
cydA,Right
cydA,Right
gpmA,Left
galE,Left
ybiI,Left
rimK,Right
artJ,Left
artP,Left
ybjE,Left
serS,Right
ycaL,Right
ompA,Left
etp,Left
phoH,Right
bssS,Left
flgG,Right
acpP,Right
pabC,Right
ndh,Right
mfd,Left
C0293,Right
mcrA,Right
ycgE,Left
ycgG,Right
ycgH,Right
ycgH,Right
ycgH,Right
umuD,Right
ychF,Left
ychS,Right
oppA,Right
trpE,Left
yciQ,Right
cysB,Right
yciS,Right
osmB,Left
fabI,Left
ycjD,Left
sapA,Left
ynaE,Left
paaC,Right
ydcL,Right
rhsE,Right
yncM,Right
ydeP,Left
hipB,Left
ydeK,Left
essQ,Left
dicB,Right
rspB,Left
rspA,Left
asr,Right
tus,Right
sodB,Right
cfa,Right
sufA,Left
ydiH,Left
ydiL,Right
ydiE,Right
ydjM,Right
ydjN,Right
ydjO,Left
cho,Right
ves,Left
ydjF,Left
yeaJ,Right
yeaQ,Left
fadD,Left
yobF,Left
yobF,Left
prc,Left
yobB,Right
yebE,Left
edd,Left
torY,Left
pgsA,Left
sdiA,Left
fliZ,Left
zinT,Right
yeeN,Right
cobU,Left
isrC,Right
yeeX,Left
rfbB,Left
yegP,Right
ogrK,Left
yegX,Left
yehS,Left
pbpG,Left
yejG,Left
proL,Right
mqo,Left
yfaL,Left
pmrD,Left
nuoA,Left
nuoA,Left
hisJ,Left
yfcV,Left
yfdV,Left
frc,Left
cysK,Right
yffQ,Right
yffS,Right
hyfA,Right
uraA,Left
pepB,Left
glmY,Left
ryfB,Left
kgtP,Left
recN,Right
ssrA,Right
intA,Right
yfjL,Left
yfjP,Right
yfjX,Right
proX,Right
ygaZ,Right
gutM,Right
hycD,Left
pphB,Right
cas1,Left
chpR,Left
rppH,Left
kduI,Left
ygeG,Right
pbl,Right
ygfF,Left
ssrS,Right
sibC,Right
epd,Left
pppA,Left
yghB,Right
mqsR,Left
ygiV,Left
yqiA,Left
ygiL,Right
ttdT,Right
ebgA,Right
ygjK,Right
sstT,Right
exuR,Right
yqjA,Right
yhaB,Right
garR,Left
sfsB,Right
sspA,Left
yhcN,Right
dusB,Right
bfd,Left
yheO,Left
yheT,Right
frlA,Right
feoA,Right
gntR,Left
rpoH,Left
yhiI,Left
yhiJ,Left
yhiS,Right
hdeB,Left
dppC,Left
yiaL,Right
yiaW,Left
rfaL,Right
dinD,Right
pstB,Left
ppiC,Left
spf,Right
glnL,Left
yihL,Right
pfkA,Right
rraA,Left
rpoB,Right
sroH,Left
yjcF,Left
gltP,Right
yjcO,Left
yjdN,Left
adiA,Left
cadB,Left
dcuA,Left
yjeJ,Left
sugE,Right
purA,Right
yjfI,Right
rplI,Right
cycA,Right
nrdD,Left
yjgX_2,Left
yjhU,Left
yjhI,Left
sgcX,Left
fimE,Right
fimA,Right
uxuR,Right
iadA,Left
yjiK,Left
yjiT,Right
mcrB,Left
deoB,Right
yjjJ,Right
caiT,Left
fixA,Right
coaE,Left
guaC,Right
gcd,Left
hpt,Right
can,Left
yadG,Right
fadE,Left
lpcA,Right
dinJ,Left
yafL,Right
phoE,Left
proB,Right
yagA,Left
yagE,Right
matA,Left
ykgL,Right
betI,Left
betT,Right
yaiS,Left
tauA,Right
fimZ,Left
argU,Right
ybdK,Left
hokE,Right
fepA,Left
